CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1976,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1977,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-5.5,-99.99,-99.99,-99.99,-99.99,-99.99
1978,-99.99,-99.99,-3,4.8,13.7,17.7,20.6,20.5,14.2,8.9,3,-2.8,-99.99,5.17,19.6,8.7,-99.99
1979,-7.4,-12.2,1.9,6,13.2,17.6,21.2,19.6,15.7,9.2,5.8,-1.7,-7.47,7.03,19.47,10.23,7.41
1980,-5.9,-8.7,-1.4,7.2,13.9,15.5,21.1,21.8,15.8,8.1,1.8,-8,-5.43,6.57,19.47,8.57,6.77
1981,-12.7,-1,0.8,7.7,12.9,18.2,21.6,20.3,14.9,7.2,3.5,-1.9,-7.23,7.13,20.03,8.53,7.62
1982,-11.3,-6.7,-1.4,4.8,14.7,16.6,20.7,18.3,15.5,10.2,5.4,0.4,-6.63,6.03,18.53,10.37,7.27
1983,-5,-4.3,1.2,5.6,11.4,19,22.5,21.2,18.2,9.8,3.1,-5.2,-2.97,6.07,20.9,10.37,8.13
1984,-9.1,-2.2,-5.3,7.5,10.9,18.7,21.3,21.5,14.9,11.2,3.7,0,-5.5,4.37,20.5,9.93,7.76
1985,-9.9,-5.9,0.3,7,13.7,16,20.7,19.8,16.6,10.6,3.1,-5.1,-5.27,7,18.83,10.1,7.24
1986,-7,-8.5,0.5,9.1,14.5,16.9,20.8,19.4,15.2,9.5,2.2,-1.1,-6.87,8.03,19.03,8.97,7.62
1987,-5.5,-7.6,1.5,9.9,14,19.6,22.7,20.4,16.1,8.7,3.3,-0.5,-4.73,8.47,20.9,9.37,8.55
1988,-5.3,-6.5,-0.9,6.7,14.6,17.3,22.7,22.1,16,7.8,4.9,-3.5,-4.1,6.8,20.7,9.57,7.99
1989,-3.5,-6.8,-3,5,13.8,19.1,22.3,20.6,16.3,9.8,2.8,-12.8,-4.6,5.27,20.67,9.63,6.97
1990,-1.7,-4.8,0.2,7.7,11.7,18.1,21.4,21.1,15.4,9.8,4.5,-0.9,-6.43,6.53,20.2,9.9,8.54
1991,-6.6,-3.2,0.8,8.3,15.4,19.5,21.8,21,15.3,10.9,3.4,-3.7,-3.57,8.17,20.77,9.87,8.58
1992,-6.8,-5.5,-3.7,5.6,13.1,16.6,18.4,18.7,15.4,7.4,3.3,-2.7,-5.33,5,17.9,8.7,6.65
1993,-5.6,-11.2,-3,6,12.7,17.2,22.1,21.8,15.1,8.5,3,-3.4,-6.5,5.23,20.37,8.87,6.93
1994,-14.1,-9.4,-1.8,6.1,11.4,19,22.1,19.3,16.1,10.4,5.5,-1.2,-8.97,5.23,20.13,10.67,6.95
1995,-3.5,-8.1,1.1,4.3,13.1,19.9,22.3,21.7,14.3,11.7,0.7,-6.1,-4.27,6.17,21.3,8.9,7.62
1996,-8,-5.6,-2.6,5.1,11.5,19,20.5,20.9,17.2,9.4,0.6,0.4,-6.57,4.67,20.13,9.07,7.37
1997,-7.4,-3.6,-2.1,5.4,10.3,19.7,20.8,19.1,15.2,9.1,2.2,-2.4,-3.53,4.53,19.87,8.83,7.19
1998,-5,-2.2,0.8,8.1,16.8,18.7,21,21,17,10.2,4.1,0.3,-3.2,8.57,20.23,10.43,9.23
1999,-7.8,-3,-1.5,7.4,15.5,20.2,23.1,19.6,17.7,9,5.8,-1.4,-3.5,7.13,20.97,10.83,8.72
2000,-7.3,-4.9,2.6,5.6,13.1,16.8,19.5,19.7,15.1,9.7,3.1,-7.4,-4.53,7.1,18.67,9.3,7.13
2001,-5.5,-5.1,-1.5,7,14.5,18.9,20.3,22.5,16.5,11,6.4,0.7,-6,6.67,20.57,11.3,8.81
2002,-1.3,-2.8,-0.1,6.7,11,18.1,22.4,21.7,18.7,8.2,2.7,-2.9,-1.13,5.87,20.73,9.87,8.53
2003,-10.8,-9.2,-1.9,3.8,12.7,17.7,21,21.7,17.4,8.6,4.5,-2.1,-7.63,4.87,20.13,10.17,6.95
2004,-12.2,-5.7,1.2,6.2,13.4,17.2,20.6,19.5,17.5,10.2,4.4,-3.2,-6.67,6.93,19.1,10.7,7.43
2005,-8.1,-5.1,-1.7,7.4,12,21.6,23.6,22.2,18.3,10.7,5.2,-4.1,-5.47,5.9,22.47,11.4,8.5
2006,-1.6,-5,0,8,14.4,18.7,22.7,21.3,15.3,8.8,5.5,1.7,-3.57,7.47,20.9,9.87,9.15
2007,-5.7,-9.6,-1.4,4.2,12.4,18.8,20,-99.99,-99.99,-99.99,3.4,-99.99,-4.53,5.07,-99.99,-99.99,-99.99
2008,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,18.8,15.6,8.1,3,-4,-99.99,-99.99,-99.99,8.9,-99.99
2009,-10.6,-5.3,-0.5,6.7,11.5,16.3,18.9,19.7,14.8,7.6,5,-3.5,-6.63,5.9,18.3,9.13,6.72
2010,-6.1,-3.7,3,9.3,14.3,17.4,22,20.3,15.9,9.1,3.5,-3.9,-4.43,8.87,19.9,9.5,8.43
2011,-9.1,-6.7,-1.1,5.9,13.1,18,21.8,20,16.7,9.8,6.1,-0.5,-6.57,5.97,19.93,10.87,7.83
2012,-3.6,-2.2,4.4,5.6,14.8,18.4,21.8,21,15.7,10.6,1.8,-1,-2.1,8.27,20.4,9.37,8.94
2013,-4.5,-6.4,-0.6,4.9,13.4,16.8,21.4,19.3,14.4,11,1.8,-5.9,-3.97,5.9,19.17,9.07,7.13
2014,-9.2,-9.1,-5.4,5,12.7,17.7,19.1,18.8,15.3,11.1,2.8,-1.2,-8.07,4.1,18.53,9.73,6.47
2015,-9.2,-14.2,-4.2,5.5,13.5,16.2,19.4,19.9,18,8.2,6.2,3.7,-8.2,4.93,18.5,10.8,6.92
2016,-4.7,-5.5,0.7,4.3,12.8,17.2,21.8,22,16.9,9.9,4.8,-1.6,-2.17,5.93,20.33,10.53,8.22
